ax,ay,az,gx,gy,gz,activity
7.6689,-3.6095,-4.3663,4.2114,8.6669,0.1831,1
7.7563,-3.9451,-4.2717,6.0424,11.8407,-2.6855,1
7.8681,-3.9762,-4.3106,6.5917,11.2304,-2.8686,1
8.0973,-3.7770,-4.2352,1.9531,12.1459,-3.6621,1
8.1667,-3.8392,-4.2006,-6.2866,6.8359,-4.6386,1
8.0793,-3.8727,-4.3842,-9.7656,4.5165,-4.7607,1
7.7431,-3.9080,-3.9774,-9.8266,6.2866,-3.7841,1
7.6725,-3.9702,-3.8410,-7.6904,4.4555,-5.3100,1
7.8873,-4.2664,-3.6693,-4.7607,4.0283,-6.1645,1
7.8538,-4.2897,-3.5742,0.7324,3.6621,-7.0190,1
8.0434,-4.1515,-3.5653,0.1220,0.9765,-9.3383,1
7.8604,-3.7322,-3.6849,-1.1596,-1.0986,-11.5966,1
7.8526,-3.4642,-3.5156,-4.0283,-8.4228,-10.1318,1
8.0937,-3.8865,-3.1525,-1.3427,-11.2914,-8.1176,1
8.3383,-3.6616,-3.2470,1.1596,-12.2680,-5.9814,1
8.7577,-3.0885,-3.2967,-2.3193,-9.1552,-2.3803,1
8.8624,-2.4975,-3.6203,-6.5307,-4.8217,-2.1972,1
8.8809,-2.7278,-3.6293,-14.2211,0.8544,-1.2817,1
8.7122,-3.6382,-3.5282,-14.9535,3.4789,0.3662,1
8.2229,-3.9188,-3.5198,-12.2069,7.0800,1.3427,1
8.0745,-3.7758,-3.5898,-10.6811,6.5307,0.4272,1
8.3904,-3.3726,-4.0031,-10.5590,7.5683,-1.2817,1
8.2869,-3.2470,-4.1222,-9.3993,9.3993,-2.3193,1
7.8963,-3.6741,-3.8273,-10.1928,4.6386,-2.7465,1
7.9136,-3.7298,-4.0295,-8.9111,4.0283,-3.2958,1
7.9011,-3.4767,-4.0522,-5.7983,2.2582,-3.1738,1
8.0865,-3.4737,-4.1694,-3.1127,2.5024,-3.2348,1
8.3587,-3.5467,-4.0636,0.4882,0.1220,-3.4789,1
8.4191,-3.4313,-4.0666,0.1831,-2.1362,-3.3569,1
8.1750,-3.1728,-4.0007,0.0610,0.2441,-3.6010,1
8.1499,-3.2039,-3.9834,0.4882,-2.2582,-3.8452,1
8.2193,-3.2243,-3.9972,1.2207,-2.7465,-4.4555,1
8.2977,-3.2949,-3.9667,2.3193,-4.2724,-3.9672,1
8.3216,-3.1932,-3.9242,3.1127,-2.6855,-3.1738,1
8.3210,-2.9156,-3.9972,2.0141,-1.4038,-3.0517,1
8.2755,-2.9174,-3.8560,0.2441,0.3662,-2.8686,1
8.3330,-3.1022,-3.6969,-1.3427,-2.8686,-1.9531,1
8.3796,-3.1692,-3.8578,0.2441,-4.6386,-1.5869,1
8.3964,-3.1220,-3.9020,0.0610,-6.1034,-1.2207,1
8.3784,-2.9742,-3.9200,0.8544,-5.7983,-1.2207,1
